State,Area Name,"Percent of adults with less than a high school diploma, 2000","Percent of adults with a high school diploma only, 2000","Percent of adults completing some college or associate's degree, 2000","Percent of adults with a bachelor's degree or higher, 2000","Less than a high school diploma, 2012-2016","High school diploma only, 2012-2016","Some college or associate's degree, 2012-2016","Bachelor's degree or higher, 2012-2016","Percent of adults with less than a high school diploma, 2012-2016","Percent of adults with a high school diploma only, 2012-2016","Percent of adults completing some college or associate's degree, 2012-2016","Percent of adults with a bachelor's degree or higher, 2012-2016"
VA,Floyd County,"29.9","38.2","19.3","12.5","1,887","4,035","3,469","2,022","16.5","35.4","30.4","17.7"
VA,Fluvanna County,"20.0","32.5","23.0","24.5","1,972","4,903","5,889","5,736","10.7","26.5","31.8","31.0"
VA,Franklin County,"27.8","32.6","24.8","14.8","5,899","13,505","12,663","8,345","14.6","33.4","31.3","20.7"
VA,Frederick County,"21.4","35.7","24.3","18.6","6,699","17,532","15,822","16,221","11.9","31.2","28.1","28.8"
VA,Giles County,"24.1","40.8","22.6","12.4","1,789","4,731","3,620","1,911","14.8","39.3","30.0","15.9"
VA,Gloucester County,"18.3","31.7","32.4","17.6","2,684","8,731","9,020","5,950","10.2","33.1","34.2","22.6"
VA,Goochland County,"21.2","29.4","20.0","29.4","1,537","4,529","4,348","5,876","9.4","27.8","26.7","36.1"
VA,Grayson County,"35.9","37.7","18.4","8.0","2,380","4,600","3,246","1,220","20.8","40.2","28.4","10.7"
VA,Greene County,"21.6","34.7","23.8","19.8","2,171","4,262","3,503","3,211","16.5","32.4","26.6","24.4"
VA,Greensville County,"37.9","39.2","11.9","11.0","2,028","3,630","2,266","736","23.4","41.9","26.2","8.5"
VA,Halifax County,"36.1","33.8","20.6","9.5","5,297","8,879","7,058","3,992","21.0","35.2","28.0","15.8"
VA,Hanover County,"13.4","28.8","29.1","28.7","5,130","18,553","20,322","25,488","7.4","26.7","29.2","36.7"
VA,Henrico County,"13.4","23.7","28.0","34.9","20,016","49,886","60,419","89,871","9.1","22.7","27.4","40.8"
VA,Henry County,"35.1","32.7","22.8","9.4","7,885","12,674","12,968","4,383","20.8","33.4","34.2","11.6"
VA,Highland County,"27.2","38.3","21.4","13.2","294","735","404","414","15.9","39.8","21.9","22.4"
VA,Isle of Wight County,"23.8","30.5","28.2","17.5","3,425","6,987","8,199","7,013","13.4","27.3","32.0","27.4"
VA,James City County,"10.7","20.9","26.9","41.5","3,186","10,142","13,799","24,809","6.1","19.5","26.6","47.8"
VA,King and Queen County,"31.8","37.2","20.7","10.3","770","2,181","1,331","1,019","14.5","41.1","25.1","19.2"
