State,Area Name,"Percent of adults with less than a high school diploma, 2000","Percent of adults with a high school diploma only, 2000","Percent of adults completing some college or associate's degree, 2000","Percent of adults with a bachelor's degree or higher, 2000","Less than a high school diploma, 2012-2016","High school diploma only, 2012-2016","Some college or associate's degree, 2012-2016","Bachelor's degree or higher, 2012-2016","Percent of adults with less than a high school diploma, 2012-2016","Percent of adults with a high school diploma only, 2012-2016","Percent of adults completing some college or associate's degree, 2012-2016","Percent of adults with a bachelor's degree or higher, 2012-2016"
US,United States,"19.6","28.6","27.4","24.4","27,818,380","58,820,411","62,242,569","64,767,787","13.0","27.5","29.1","30.3"
AL,Alabama,"24.7","30.4","25.9","19.0","496,036","1,009,593","972,703","783,076","15.2","31.0","29.8","24.0"
AL,Autauga County,"21.3","33.8","26.9","18.0","4,528","12,519","10,451","8,968","12.4","34.3","28.7","24.6"
AL,Baldwin County,"18.0","29.6","29.3","23.1","13,956","40,154","44,486","41,350","10.0","28.7","31.8","29.5"
AL,Barbour County,"35.3","32.4","21.3","10.9","4,824","6,422","4,775","2,366","26.2","34.9","26.0","12.9"
AL,Bibb County,"36.8","35.7","20.4","7.1","3,040","6,586","4,234","1,890","19.3","41.8","26.9","12.0"
AL,Blount County,"29.6","36.0","24.8","9.6","7,882","13,003","13,436","5,151","20.0","32.9","34.0","13.1"
AL,Bullock County,"39.5","35.2","17.5","7.7","2,452","2,504","1,625","752","33.4","34.1","22.2","10.3"
AL,Butler County,"32.2","34.5","22.9","10.4","2,642","5,559","3,505","2,243","18.9","39.9","25.1","16.1"
AL,Calhoun County,"26.1","32.2","26.4","15.2","13,894","25,228","25,653","13,886","17.7","32.1","32.6","17.7"
AL,Chambers County,"35.8","32.1","22.5","9.5","4,708","9,401","6,767","2,978","19.7","39.4","28.4","12.5"
AL,Cherokee County,"36.5","34.9","18.9","9.7","3,499","6,722","5,863","2,610","18.7","36.0","31.4","14.0"
AL,Chilton County,"33.8","35.8","20.5","9.9","5,918","12,267","7,133","4,417","19.9","41.3","24.0","14.9"
AL,Choctaw County,"35.0","34.7","20.6","9.6","1,998","3,520","2,800","1,130","21.1","37.3","29.6","12.0"
AL,Clarke County,"29.2","37.7","21.1","12.1","3,227","7,680","4,049","2,066","19.0","45.1","23.8","12.1"
AL,Clay County,"34.0","37.8","20.4","7.8","2,398","3,266","2,737","1,045","25.4","34.6","29.0","11.1"
AL,Cleburne County,"37.1","35.8","17.8","9.2","2,676","3,936","2,559","1,195","25.8","38.0","24.7","11.5"
AL,Coffee County,"26.8","26.2","27.6","19.3","5,145","10,157","11,120","8,192","14.9","29.3","32.1","23.7"
AL,Colbert County,"26.7","33.9","25.3","14.1","6,344","13,337","11,521","7,069","16.6","34.8","30.1","18.5"
AL,Conecuh County,"32.3","38.1","20.3","9.2","1,812","4,070","2,163","763","20.6","46.2","24.6","8.7"
AL,Coosa County,"34.3","38.3","19.3","8.0","2,140","2,873","2,108","786","27.1","36.3","26.7","9.9"
AL,Covington County,"31.6","33.0","23.2","12.2","5,051","9,115","8,373","3,953","19.1","34.4","31.6","14.9"
AL,Crenshaw County,"39.9","29.0","19.9","11.2","2,071","3,680","2,401","1,399","21.7","38.5","25.1","14.6"
AL,Cullman County,"29.6","32.0","26.5","11.9","10,050","19,784","18,058","8,431","17.8","35.1","32.1","15.0"
AL,Dale County,"22.2","29.2","34.6","14.0","4,726","11,033","12,243","5,361","14.2","33.1","36.7","16.1"
AL,Dallas County,"29.7","33.6","22.9","13.9","5,673","9,857","7,781","3,727","21.0","36.5","28.8","13.8"
AL,DeKalb County,"36.2","34.0","21.5","8.3","12,981","16,259","12,808","5,392","27.4","34.3","27.0","11.4"
AL,Elmore County,"22.4","33.8","27.2","16.6","7,238","19,476","16,016","12,220","13.2","35.4","29.1","22.2"
AL,Escambia County,"31.5","34.7","23.2","10.6","5,035","11,189","6,543","2,995","19.5","43.4","25.4","11.6"
AL,Etowah County,"25.9","32.3","28.4","13.4","12,582","23,334","23,956","11,824","17.5","32.5","33.4","16.5"
AL,Fayette County,"33.9","35.0","21.9","9.2","2,452","4,609","3,075","1,670","20.8","39.0","26.0","14.1"
AL,Franklin County,"37.9","30.5","21.9","9.7","5,092","7,678","5,565","2,593","24.3","36.7","26.6","12.4"
AL,Geneva County,"34.4","32.0","25.0","8.7","4,196","6,762","5,654","2,193","22.3","36.0","30.1","11.7"
AL,Greene County,"35.2","34.9","19.4","10.5","1,375","2,444","1,551","595","23.1","41.0","26.0","10.0"
AL,Hale County,"34.8","35.9","21.2","8.1","1,903","4,377","2,514","1,435","18.6","42.8","24.6","14.0"
AL,Henry County,"33.3","29.1","23.5","14.1","2,359","4,417","3,472","1,973","19.3","36.1","28.4","16.1"
AL,Houston County,"23.5","30.4","27.7","18.4","10,684","22,738","22,476","14,875","15.1","32.1","31.8","21.0"
AL,Jackson County,"33.0","34.9","21.7","10.4","7,615","15,270","9,565","4,669","20.5","41.1","25.8","12.6"
AL,Jefferson County,"19.1","27.9","28.4","24.6","49,094","118,111","138,638","140,254","11.0","26.5","31.1","31.4"
AL,Lamar County,"34.9","37.5","19.8","7.8","2,258","3,536","2,898","1,306","22.6","35.4","29.0","13.1"
AL,Lauderdale County,"23.6","34.1","23.8","18.5","9,559","21,850","18,049","13,690","15.1","34.6","28.6","21.7"
AL,Lawrence County,"34.4","39.4","18.7","7.5","5,261","9,340","6,411","2,415","22.5","39.9","27.4","10.3"
AL,Lee County,"18.6","26.7","26.8","27.9","10,170","22,109","26,815","31,005","11.3","24.5","29.8","34.4"
AL,Limestone County,"25.5","32.5","25.1","16.9","10,449","19,841","17,316","14,430","16.8","32.0","27.9","23.3"
AL,Lowndes County,"35.7","33.4","19.9","11.0","1,805","2,699","1,781","880","25.2","37.7","24.9","12.3"
AL,Macon County,"30.0","25.0","26.3","18.8","2,425","3,874","3,627","2,488","19.5","31.2","29.2","20.0"
AL,Madison County,"14.6","21.9","29.2","34.3","21,757","49,507","69,267","96,340","9.2","20.9","29.2","40.7"
AL,Marengo County,"28.1","37.4","22.5","12.1","2,208","5,505","3,943","2,023","16.1","40.2","28.8","14.8"
AL,Marion County,"36.8","32.9","22.3","8.0","4,331","7,533","6,989","2,685","20.1","35.0","32.5","12.5"
AL,Marshall County,"30.6","30.5","25.0","13.9","13,557","20,210","19,101","10,498","21.4","31.9","30.1","16.6"
AL,Mobile County,"23.3","31.9","26.2","18.6","39,097","89,494","84,417","61,885","14.2","32.6","30.7","22.5"
AL,Monroe County,"32.1","34.4","21.7","11.8","2,676","6,713","3,658","1,846","18.0","45.1","24.6","12.4"
AL,Montgomery County,"19.7","24.3","27.4","28.5","21,741","38,102","43,017","47,212","14.5","25.4","28.7","31.5"
AL,Morgan County,"23.7","30.3","27.6","18.4","14,363","24,668","25,423","17,579","17.5","30.1","31.0","21.4"
AL,Perry County,"37.6","30.4","22.0","10.0","1,403","2,348","1,329","861","23.6","39.5","22.4","14.5"
AL,Pickens County,"30.3","37.8","22.1","9.8","2,662","5,623","4,233","1,566","18.9","39.9","30.1","11.1"
AL,Pike County,"30.9","30.0","20.6","18.4","3,932","6,411","4,569","4,706","20.0","32.7","23.3","24.0"
AL,Randolph County,"38.1","32.0","19.9","10.0","3,547","5,678","3,975","2,399","22.7","36.4","25.5","15.4"
AL,Russell County,"33.5","33.0","23.8","9.7","6,726","12,020","13,260","6,562","17.4","31.2","34.4","17.0"
AL,St. Clair County,"28.7","34.6","25.6","11.1","9,919","21,695","18,769","9,671","16.5","36.1","31.3","16.1"
AL,Shelby County,"13.2","23.0","27.1","36.8","11,714","29,259","40,459","57,585","8.4","21.0","29.1","41.4"
AL,Sumter County,"35.2","31.1","21.2","12.4","1,657","3,443","1,678","1,500","20.0","41.6","20.3","18.1"
AL,Talladega County,"30.3","34.4","24.0","11.2","11,304","19,975","17,384","7,330","20.2","35.7","31.0","13.1"
AL,Tallapoosa County,"29.9","32.9","23.0","14.1","5,886","10,201","7,817","5,006","20.4","35.3","27.0","17.3"
AL,Tuscaloosa County,"21.2","28.4","26.4","24.0","14,604","37,364","35,017","36,170","11.9","30.3","28.4","29.4"
AL,Walker County,"32.8","34.7","23.3","9.1","9,786","16,706","14,330","4,811","21.4","36.6","31.4","10.5"
AL,Washington County,"27.7","43.6","20.1","8.6","2,335","5,278","2,802","1,109","20.3","45.8","24.3","9.6"
AL,Wilcox County,"40.5","30.3","19.2","10.1","1,499","3,342","1,759","841","20.1","44.9","23.6","11.3"
AL,Winston County,"37.4","34.3","20.1","8.3","4,145","5,932","4,936","2,261","24.0","34.3","28.6","13.1"
AK,Alaska,"11.7","27.9","35.7","24.7","36,032","130,511","168,631","135,525","7.7","27.7","35.8","28.8"
AK,Aleutians East Borough,"25.3","49.0","20.9","4.9","398","1,070","773","304","15.6","42.0","30.4","11.9"
AK,Aleutians West Census Area,"21.5","34.4","33.1","11.0","520","1,674","1,307","652","12.5","40.3","31.5","15.7"
AK,Anchorage Municipality,"9.7","24.2","37.2","28.9","12,854","45,857","67,063","65,657","6.7","24.0","35.0","34.3"
AK,Bethel Census Area,"29.0","38.6","19.3","13.1","1,815","4,315","2,288","1,085","19.1","45.4","24.1","11.4"
AK,Bristol Bay Borough,"11.1","34.0","33.8","21.1","48","226","251","124","7.4","34.8","38.7","19.1"
AK,Denali Borough,"8.3","30.4","38.6","22.7","57","351","516","579","3.8","23.4","34.3","38.5"
AK,Dillingham Census Area,"23.4","33.9","26.3","16.4","373","1,041","914","496","13.2","36.9","32.4","17.6"
AK,Fairbanks North Star Borough,"8.2","25.5","39.3","27.0","3,433","13,587","23,770","20,431","5.6","22.2","38.8","33.4"
AK,Haines Borough,"11.1","31.1","34.0","23.8","84","474","542","747","4.5","25.7","29.3","40.4"
AK,Juneau City and Borough,"6.8","22.0","35.2","36.0","975","4,724","7,800","8,789","4.4","21.2","35.0","39.4"
AK,Kenai Peninsula Borough,"11.5","31.8","36.4","20.3","2,874","12,727","14,574","9,363","7.3","32.2","36.9","23.7"
AK,Ketchikan Gateway Borough,"10.4","29.7","39.8","20.2","751","2,993","3,443","2,241","8.0","31.7","36.5","23.8"
AK,Kodiak Island Borough,"14.6","31.3","35.3","18.7","840","2,454","3,468","2,236","9.3","27.3","38.5","24.9"
AK,Kusilvak Census Area,"33.7","41.2","16.1","9.1","814","1,970","808","181","21.6","52.2","21.4","4.8"
AK,Lake and Peninsula Borough,"27.8","39.2","20.5","12.4","114","355","262","104","13.7","42.5","31.4","12.5"
AK,Matanuska-Susitna Borough,"11.9","31.3","38.6","18.3","4,768","19,980","25,088","12,920","7.6","31.8","40.0","20.6"
AK,Nome Census Area,"25.2","38.1","22.0","14.7","815","2,329","1,510","752","15.1","43.1","27.9","13.9"
AK,North Slope Borough,"22.6","35.1","25.4","17.0","735","2,391","2,296","896","11.6","37.8","36.3","14.2"
AK,Northwest Arctic Borough,"28.0","40.4","18.9","12.7","844","1,817","946","435","20.9","45.0","23.4","10.8"
AK,Sitka City and Borough,"9.4","25.3","35.8","29.5","463","1,617","2,179","2,037","7.4","25.7","34.6","32.4"
AK,Southeast Fairbanks Census Area,"13.2","35.1","33.5","18.2","416","1,502","1,714","863","9.3","33.4","38.1","19.2"
AK,Valdez-Cordova Census Area,"11.5","29.9","37.4","21.2","452","1,712","2,216","1,885","7.2","27.3","35.4","30.1"
AK,Yakutat City and Borough,"15.7","33.3","33.3","17.6","25","184","153","89","5.5","40.8","33.9","19.7"
AK,Yukon-Koyukuk Census Area,"25.7","39.4","20.7","14.2","606","1,414","1,087","434","17.1","39.9","30.7","12.3"
AZ,Arizona,"19.0","24.3","33.1","23.5","611,243","1,078,358","1,509,609","1,241,425","13.8","24.3","34.0","28.0"
AZ,Apache County,"36.4","24.9","27.4","11.3","9,499","14,622","14,708","4,828","21.8","33.5","33.7","11.1"
AZ,Cochise County,"20.5","24.6","36.0","18.8","11,823","20,470","35,455","20,423","13.4","23.2","40.2","23.2"
AZ,Coconino County,"16.2","21.6","32.2","29.9","8,904","17,352","26,589","27,477","11.1","21.6","33.1","34.2"
AZ,Gila County,"21.8","28.7","35.7","13.9","6,065","11,057","14,596","6,839","15.7","28.7","37.9","17.7"
AZ,Graham County,"24.4","30.1","33.6","11.8","3,353","7,573","9,006","3,064","14.6","32.9","39.2","13.3"
AZ,Greenlee County,"17.5","35.1","35.2","12.2","701","2,124","2,243","704","12.1","36.8","38.9","12.2"
AZ,La Paz County,"30.7","33.9","26.7","8.7","3,818","5,601","4,346","1,604","24.8","36.4","28.3","10.4"
AZ,Maricopa County,"17.5","23.1","33.5","25.9","348,801","613,123","882,871","827,615","13.1","22.9","33.0","31.0"
AZ,Mohave County,"22.5","34.9","32.7","9.9","24,527","54,670","54,667","18,045","16.1","36.0","36.0","11.9"
AZ,Navajo County,"28.8","27.7","31.2","12.3","12,588","20,654","24,959","9,864","18.5","30.3","36.7","14.5"
AZ,Pima County,"16.6","23.3","33.4","26.7","81,218","149,775","227,718","204,172","12.3","22.6","34.4","30.8"
AZ,Pinal County,"27.3","30.4","30.4","11.9","40,697","78,792","100,488","49,839","15.1","29.2","37.2","18.5"
AZ,Santa Cruz County,"39.3","22.8","22.7","15.2","7,255","7,530","7,523","6,474","25.2","26.2","26.1","22.5"
AZ,Yavapai County,"15.3","28.2","35.4","21.1","16,285","42,735","64,324","42,311","9.8","25.8","38.8","25.5"
AZ,Yuma County,"34.2","25.7","28.2","11.8","35,709","32,280","40,116","18,166","28.3","25.6","31.8","14.4"
AR,Arkansas,"24.7","34.1","24.5","16.7","292,228","683,886","573,031","424,446","14.8","34.7","29.0","21.5"
AR,Arkansas County,"27.6","39.8","20.4","12.2","2,228","5,173","3,505","1,839","17.5","40.6","27.5","14.4"
AR,Ashley County,"27.5","43.2","19.2","10.1","2,309","5,697","4,383","1,948","16.1","39.7","30.6","13.6"
AR,Baxter County,"22.5","37.5","27.2","12.8","4,018","10,799","11,042","5,576","12.8","34.4","35.1","17.7"
AR,Benton County,"19.6","32.8","27.3","20.3","20,270","48,410","41,316","48,781","12.8","30.5","26.0","30.7"
AR,Boone County,"23.2","35.0","29.2","12.7","3,926","9,033","9,265","3,912","15.0","34.6","35.4","15.0"
AR,Bradley County,"33.4","36.8","17.9","11.9","1,526","3,143","1,834","1,079","20.1","41.5","24.2","14.2"
AR,Calhoun County,"31.3","43.5","17.9","7.3","621","1,838","800","445","16.8","49.6","21.6","12.0"
AR,Carroll County,"28.2","34.0","23.9","13.8","3,153","6,804","6,075","3,446","16.2","34.9","31.2","17.7"
AR,Chicot County,"35.8","35.3","17.3","11.7","1,540","3,248","1,925","1,015","19.9","42.0","24.9","13.1"
AR,Clark County,"24.7","32.4","23.1","19.8","1,770","4,056","4,067","3,248","13.5","30.9","30.9","24.7"
AR,Clay County,"39.4","37.8","15.4","7.4","2,258","4,586","2,741","1,227","20.9","42.4","25.4","11.3"
AR,Cleburne County,"25.2","36.4","24.5","13.9","3,140","7,188","5,598","2,895","16.7","38.2","29.7","15.4"
AR,Cleveland County,"26.9","43.4","19.7","10.0","799","2,529","1,525","907","13.9","43.9","26.5","15.7"
AR,Columbia County,"25.9","35.8","21.5","16.8","2,231","5,901","3,612","3,296","14.8","39.2","24.0","21.9"
AR,Conway County,"26.8","41.4","20.2","11.5","2,182","6,140","3,738","2,456","15.0","42.3","25.8","16.9"
AR,Craighead County,"22.7","32.8","23.6","20.9","7,886","22,404","18,539","16,618","12.0","34.2","28.3","25.4"
AR,Crawford County,"28.5","36.0","25.8","9.7","6,097","16,556","13,153","5,612","14.7","40.0","31.8","13.6"
AR,Crittenden County,"30.8","33.1","23.3","12.8","5,661","11,049","8,945","5,401","18.2","35.6","28.8","17.4"
AR,Cross County,"31.7","38.2","20.3","9.9","2,246","5,107","2,543","1,712","19.3","44.0","21.9","14.7"
AR,Dallas County,"33.2","41.1","16.1","9.6","894","2,640","1,180","685","16.6","48.9","21.9","12.7"
AR,Desha County,"35.0","36.0","18.0","11.1","1,912","3,179","1,863","1,056","23.9","39.7","23.3","13.2"
AR,Drew County,"26.9","34.3","21.5","17.3","2,124","4,273","2,881","2,297","18.4","36.9","24.9","19.8"
AR,Faulkner County,"16.7","31.3","26.8","25.2","6,516","22,373","22,852","21,251","8.9","30.7","31.3","29.1"
AR,Franklin County,"28.9","35.4","24.7","11.0","2,270","4,916","3,288","1,567","18.9","40.8","27.3","13.0"
AR,Fulton County,"27.8","39.0","22.7","10.5","1,433","3,624","2,869","983","16.1","40.7","32.2","11.0"
AR,Garland County,"21.7","32.8","27.6","18.0","8,101","21,804","25,335","14,352","11.6","31.3","36.4","20.6"
AR,Grant County,"22.8","42.3","23.9","11.0","1,235","5,149","3,537","2,455","10.0","41.6","28.6","19.8"
AR,Greene County,"27.9","40.6","20.6","10.9","4,278","12,468","7,493","4,770","14.7","43.0","25.8","16.4"
AR,Hempstead County,"30.8","38.3","19.9","11.0","3,153","5,612","4,146","1,864","21.3","38.0","28.1","12.6"
AR,Hot Spring County,"26.7","39.7","22.4","11.2","3,317","9,773","7,226","3,166","14.1","41.6","30.8","13.5"
AR,Howard County,"29.3","37.9","21.2","11.6","1,867","3,063","2,706","1,427","20.6","33.8","29.9","15.7"
AR,Independence County,"24.5","39.7","22.0","13.7","3,879","9,387","7,335","4,406","15.5","37.5","29.3","17.6"
AR,Izard County,"26.7","36.5","25.1","11.7","1,610","4,083","3,091","1,241","16.1","40.7","30.8","12.4"
AR,Jackson County,"34.0","38.3","17.4","10.3","2,938","5,284","3,253","1,086","23.4","42.1","25.9","8.6"
AR,Jefferson County,"25.2","34.8","24.3","15.7","7,556","18,473","13,861","8,164","15.7","38.4","28.8","17.0"
AR,Johnson County,"32.4","36.7","17.8","13.1","3,579","7,348","3,405","2,718","21.0","43.1","20.0","15.9"
AR,Lafayette County,"34.7","36.0","19.8","9.5","1,003","2,169","1,208","694","19.8","42.7","23.8","13.7"
AR,Lawrence County,"36.7","36.7","18.0","8.5","2,089","4,707","3,108","1,534","18.3","41.2","27.2","13.4"
AR,Lee County,"43.8","29.6","19.3","7.3","2,132","2,675","1,566","566","30.7","38.6","22.6","8.2"
AR,Lincoln County,"35.0","37.8","19.6","7.6","2,110","5,061","2,116","786","20.9","50.2","21.0","7.8"
AR,Little River County,"26.6","38.2","25.4","9.9","1,249","3,620","3,185","867","14.0","40.6","35.7","9.7"
AR,Logan County,"30.2","38.4","22.0","9.4","2,629","6,709","3,952","1,988","17.2","43.9","25.9","13.0"
AR,Lonoke County,"22.4","35.7","27.4","14.6","5,536","15,738","16,133","9,065","11.9","33.9","34.7","19.5"
AR,Madison County,"32.2","38.9","18.9","10.1","2,125","5,098","2,371","1,226","19.6","47.1","21.9","11.3"
AR,Marion County,"24.0","38.3","27.3","10.4","1,752","4,930","3,906","1,915","14.0","39.4","31.2","15.3"
AR,Miller County,"25.7","35.8","26.0","12.5","4,263","11,555","9,372","4,271","14.5","39.2","31.8","14.5"
AR,Mississippi County,"35.3","32.1","21.3","11.3","5,506","10,348","8,695","3,551","19.6","36.8","30.9","12.6"
AR,Monroe County,"36.2","38.2","17.2","8.4","1,145","2,188","1,439","475","21.8","41.7","27.4","9.1"
AR,Montgomery County,"30.2","39.2","21.8","8.8","1,364","2,390","2,148","844","20.2","35.4","31.8","12.5"
AR,Nevada County,"30.9","39.2","19.1","10.7","1,015","2,709","1,387","906","16.9","45.0","23.1","15.1"
AR,Newton County,"29.8","37.8","20.6","11.8","1,154","2,397","1,468","874","19.6","40.7","24.9","14.8"
AR,Ouachita County,"26.5","34.9","25.9","12.7","2,376","7,322","4,629","2,855","13.8","42.6","26.9","16.6"
AR,Perry County,"26.2","41.4","21.3","11.1","1,274","3,086","2,049","762","17.8","43.0","28.6","10.6"
AR,Phillips County,"37.8","26.5","23.4","12.4","2,986","3,976","4,208","1,475","23.6","31.4","33.3","11.7"
AR,Pike County,"31.2","39.2","19.6","10.1","1,427","2,736","2,387","1,142","18.6","35.6","31.0","14.8"
AR,Poinsett County,"38.0","39.5","16.2","6.3","3,474","6,930","4,355","1,563","21.3","42.5","26.7","9.6"
AR,Polk County,"27.4","36.2","25.4","10.9","2,218","5,206","4,941","1,729","15.7","36.9","35.1","12.3"
AR,Pope County,"22.6","33.5","24.9","19.0","6,557","13,392","11,242","8,459","16.5","33.8","28.4","21.3"
AR,Prairie County,"31.8","38.8","20.4","9.0","1,057","2,602","1,557","781","17.6","43.4","26.0","13.0"
AR,Pulaski County,"15.6","27.1","29.2","28.1","26,088","71,330","79,082","86,671","9.9","27.1","30.1","32.9"
AR,Randolph County,"30.8","38.4","20.3","10.6","2,052","4,707","3,838","1,679","16.7","38.3","31.3","13.7"
AR,St. Francis County,"34.9","32.8","22.8","9.6","4,088","7,187","5,351","1,929","22.0","38.7","28.8","10.4"
AR,Saline County,"17.7","37.7","28.3","16.4","8,565","26,685","24,962","19,571","10.7","33.4","31.3","24.5"
AR,Scott County,"34.6","37.2","19.8","8.4","1,685","2,748","1,955","756","23.6","38.5","27.4","10.6"
AR,Searcy County,"32.0","40.6","19.0","8.4","906","2,470","1,647","848","15.4","42.1","28.1","14.4"
AR,Sebastian County,"23.4","31.2","28.8","16.6","14,700","26,766","26,664","15,763","17.5","31.9","31.8","18.8"
AR,Sevier County,"35.4","33.8","21.6","9.2","3,233","3,676","2,731","998","30.4","34.6","25.7","9.4"
AR,Sharp County,"27.1","38.3","24.3","10.3","2,061","5,304","3,685","1,240","16.8","43.2","30.0","10.1"
AR,Stone County,"32.0","38.5","19.8","9.8","2,146","3,205","2,472","1,321","23.5","35.1","27.0","14.4"
AR,Union County,"25.5","35.5","24.1","14.9","4,458","9,865","7,835","5,275","16.3","36.0","28.6","19.2"
AR,Van Buren County,"28.4","36.8","23.3","11.5","1,946","5,611","3,169","1,691","15.7","45.2","25.5","13.6"
AR,Washington County,"20.5","30.5","24.5","24.5","20,867","36,262","33,652","41,124","15.8","27.5","25.5","31.2"
AR,White County,"27.1","35.7","21.7","15.5","8,062","19,271","13,389","9,765","16.0","38.2","26.5","19.3"
AR,Woodruff County,"39.4","36.7","15.9","8.0","1,186","2,202","962","495","24.5","45.4","19.9","10.2"
AR,Yell County,"35.9","35.7","17.5","10.9","3,221","5,943","3,288","2,091","22.1","40.9","22.6","14.4"
CA,California,"23.2","20.1","30.0","26.6","4,572,963","5,260,904","7,544,058","8,176,487","17.9","20.6","29.5","32.0"
CA,Alameda County,"17.6","19.0","28.4","34.9","141,393","200,371","282,921","488,594","12.7","18.0","25.4","43.9"
CA,Alpine County,"11.7","26.0","34.1","28.2","70","257","228","235","8.9","32.5","28.9","29.7"
CA,Amador County,"16.0","30.2","37.1","16.6","3,351","7,693","11,518","6,184","11.7","26.8","40.1","21.5"
CA,Butte County,"17.7","24.3","36.1","21.8","16,950","32,775","56,917","37,753","11.7","22.7","39.4","26.1"
CA,Calaveras County,"14.3","28.6","40.0","17.1","3,248","9,215","14,545","6,845","9.6","27.2","43.0","20.2"
CA,Colusa County,"36.0","24.1","29.2","10.6","4,278","2,926","4,256","1,932","31.9","21.8","31.8","14.4"
CA,Contra Costa County,"13.1","19.8","32.1","35.0","82,371","136,792","230,535","303,182","10.9","18.2","30.6","40.3"
CA,Del Norte County,"28.4","27.5","33.2","11.0","3,461","5,963","7,079","2,891","17.8","30.7","36.5","14.9"
CA,El Dorado County,"10.9","22.2","40.3","26.5","9,608","28,356","49,359","42,977","7.4","21.8","37.9","33.0"
CA,Fresno County,"32.5","21.1","28.9","17.5","151,875","131,710","181,276","114,275","26.2","22.7","31.3","19.7"
CA,Glenn County,"31.5","26.8","31.0","10.7","4,903","4,978","5,705","2,269","27.5","27.9","32.0","12.7"
CA,Humboldt County,"15.1","25.7","36.2","23.0","8,794","22,486","33,965","25,658","9.7","24.7","37.4","28.2"
CA,Imperial County,"41.0","22.0","26.7","10.3","35,505","24,204","32,941","15,029","33.0","22.5","30.6","14.0"
CA,Inyo County,"17.7","31.3","33.9","17.1","1,526","4,131","4,335","3,241","11.5","31.2","32.8","24.5"
CA,Kern County,"31.5","25.4","29.6","13.5","136,966","141,208","159,361","81,269","26.4","27.2","30.7","15.7"
CA,Kings County,"31.2","28.9","29.5","10.4","24,929","24,250","30,901","11,743","27.1","26.4","33.7","12.8"
CA,Lake County,"22.7","29.8","35.4","12.1","7,528","12,861","18,365","7,468","16.3","27.8","39.7","16.2"
CA,Lassen County,"20.4","30.9","38.1","10.7","4,245","7,050","8,662","2,861","18.6","30.9","38.0","12.5"
CA,Los Angeles County,"30.1","18.8","26.2","24.9","1,495,617","1,387,980","1,763,571","2,064,911","22.3","20.7","26.3","30.8"
CA,Madera County,"34.6","25.3","28.1","12.0","26,930","24,649","31,097","12,496","28.3","25.9","32.7","13.1"
CA,Marin County,"8.8","12.4","27.5","51.3","13,078","21,372","46,974","108,293","6.9","11.3","24.8","57.1"
CA,Mariposa County,"14.9","26.3","38.6","20.2","1,426","3,839","5,210","3,065","10.5","28.4","38.5","22.6"
CA,Mendocino County,"19.2","26.0","34.6","20.2","8,299","16,158","22,356","14,847","13.5","26.2","36.3","24.1"
CA,Merced County,"36.2","23.9","28.9","11.0","48,345","38,871","45,751","21,041","31.4","25.2","29.7","13.7"
CA,Modoc County,"22.9","29.4","35.3","12.4","908","1,810","2,744","1,221","13.6","27.1","41.1","18.3"
CA,Mono County,"12.1","20.7","38.4","28.9","1,486","1,671","3,284","2,846","16.0","18.0","35.4","30.6"
CA,Monterey County,"31.6","18.6","27.4","22.5","78,716","55,086","72,724","63,970","29.1","20.4","26.9","23.6"
CA,Napa County,"19.6","20.5","33.5","26.4","15,651","18,273","31,184","32,135","16.1","18.8","32.1","33.0"
CA,Nevada County,"9.7","23.8","40.4","26.1","4,956","14,568","29,233","25,570","6.7","19.6","39.3","34.4"
CA,Orange County,"20.5","17.5","31.2","30.8","325,372","365,923","601,605","807,572","15.5","17.4","28.6","38.4"
CA,Placer County,"9.5","21.3","38.9","30.3","14,879","49,288","97,742","94,689","5.8","19.2","38.1","36.9"
CA,Plumas County,"12.0","27.7","42.8","17.5","1,173","3,459","6,686","3,181","8.1","23.9","46.1","21.9"
CA,Riverside County,"25.0","24.7","33.7","16.6","286,746","380,286","490,619","311,245","19.5","25.9","33.4","21.2"
CA,Sacramento County,"16.7","22.9","35.6","24.8","129,386","219,244","343,431","286,583","13.2","22.4","35.1","29.3"
CA,San Benito County,"25.1","23.2","34.6","17.1","7,957","9,032","12,723","6,949","21.7","24.6","34.7","19.0"
CA,San Bernardino County,"25.8","25.0","33.3","15.9","274,381","339,210","430,266","249,922","21.2","26.2","33.3","19.3"
CA,San Diego County,"17.4","19.9","33.2","29.5","293,959","406,630","672,249","788,922","13.6","18.8","31.1","36.5"
CA,San Francisco County,"18.8","13.9","22.3","45.0","84,024","83,389","135,018","366,564","12.6","12.5","20.2","54.8"
CA,San Joaquin County,"28.8","25.2","31.5","14.5","97,333","117,820","146,662","80,297","22.0","26.6","33.2","18.2"
CA,San Luis Obispo County,"14.4","21.8","37.1","26.7","18,206","35,704","67,649","62,786","9.9","19.4","36.7","34.1"
CA,San Mateo County,"14.7","17.5","28.8","39.0","60,898","85,392","137,251","251,961","11.4","15.9","25.6","47.1"
CA,Santa Barbara County,"20.8","19.0","30.8","29.4","53,932","48,376","80,914","87,141","19.9","17.9","29.9","32.2"
CA,Santa Clara County,"16.6","15.9","27.0","40.5","166,105","189,751","298,047","630,862","12.9","14.8","23.2","49.1"
CA,Santa Cruz County,"16.8","16.6","32.5","34.2","23,995","27,143","55,863","68,386","13.7","15.5","31.9","39.0"
CA,Shasta County,"16.7","27.6","39.0","16.6","12,539","31,880","55,655","25,161","10.0","25.5","44.4","20.1"
CA,Sierra County,"14.8","28.7","39.3","17.2","261","632","1,017","471","11.0","26.5","42.7","19.8"
