State,Area Name,Unemployment_rate_2007,Unemployment_rate_2008,Unemployment_rate_2009,Unemployment_rate_2010,Unemployment_rate_2011,Unemployment_rate_2012,Unemployment_rate_2013,Unemployment_rate_2014,Unemployment_rate_2015,Unemployment_rate_2016,Unemployment_rate_2017
US,United States,"4.6","5.8","9.3","9.6","9.0","8.1","7.4","6.2","5.3","4.9","4.4"
AL,Alabama,"4.0","5.7","11.0","10.5","9.6","8.0","7.2","6.8","6.0","5.9","4.4"
AL,Autauga County,"3.3","5.1","9.7","8.9","8.4","6.9","6.2","5.8","5.0","5.1","3.9"
AL,Baldwin County,"3.1","4.6","9.8","10.0","9.0","7.5","6.6","6.1","6.0","5.4","4.0"
AL,Barbour County,"6.3","8.8","14.3","12.3","11.5","11.5","10.2","10.5","9.0","8.4","5.9"
AL,Bibb County,"4.1","5.8","13.3","11.4","10.5","8.5","7.9","7.2","7.0","6.5","4.4"
AL,Blount County,"3.2","4.7","10.0","9.8","8.7","6.9","6.3","6.1","5.0","5.4","4.0"
AL,Bullock County,"9.4","10.5","15.6","11.8","11.6","10.4","9.4","8.8","8.0","6.9","4.9"
AL,Butler County,"6.2","8.5","16.4","13.6","12.5","11.5","10.3","8.5","8.0","6.9","5.5"
AL,Calhoun County,"3.9","5.7","11.1","11.4","10.3","8.9","8.8","8.0","7.0","6.6","4.9"
AL,Chambers County,"6.5","14.4","19.6","14.9","12.0","9.9","8.0","6.7","6.0","5.5","4.1"
AL,Cherokee County,"4.2","5.7","11.7","10.6","9.7","8.0","6.6","5.8","6.0","5.1","4.1"
AL,Chilton County,"3.4","5.1","10.6","10.3","9.1","7.2","6.6","6.3","6.0","5.5","4.0"
AL,Choctaw County,"5.9","8.3","13.5","13.3","13.1","10.3","9.2","9.0","9.0","8.5","6.4"
AL,Clarke County,"6.1","9.0","16.5","19.9","18.8","15.0","13.8","12.2","12.0","10.9","8.5"
AL,Clay County,"5.5","7.9","16.7","14.5","11.8","9.4","8.3","7.1","6.0","6.0","4.4"
AL,Cleburne County,"3.7","5.1","10.2","10.0","9.7","8.2","7.7","6.6","6.0","6.0","4.5"
AL,Coffee County,"3.8","4.8","8.5","8.6","8.1","7.0","6.9","6.6","6.0","5.9","4.4"
AL,Colbert County,"4.6","6.5","11.6","11.5","10.2","8.8","8.2","8.3","8.0","7.0","5.2"
AL,Conecuh County,"6.4","9.4","19.9","17.2","15.2","11.9","10.7","10.3","9.0","8.4","6.1"
AL,Coosa County,"5.8","8.3","16.0","15.4","12.5","9.4","9.2","8.8","7.0","6.0","4.6"
AL,Covington County,"3.9","5.9","10.8","10.3","9.8","8.4","8.1","7.8","7.0","6.8","5.2"
AL,Crenshaw County,"4.3","5.6","10.4","10.2","9.9","8.3","7.7","6.9","6.0","5.9","4.5"
AL,Cullman County,"3.4","4.9","10.3","10.4","9.5","7.7","6.7","6.1","5.0","5.0","3.7"
AL,Dale County,"4.0","5.4","9.6","8.8","8.3","7.4","7.4","7.1","6.0","5.8","4.4"
AL,Dallas County,"8.3","11.1","21.1","16.9","15.1","12.9","12.2","11.2","10.0","9.2","7.5"
AL,DeKalb County,"4.3","5.8","14.3","12.7","11.8","9.0","7.6","6.9","6.0","6.1","4.5"
AL,Elmore County,"3.3","5.1","9.5","9.1","8.4","6.9","6.2","5.7","5.0","4.8","3.6"
AL,Escambia County,"5.3","7.6","13.5","11.8","10.8","9.2","8.6","8.0","7.0","6.7","5.0"
AL,Etowah County,"4.5","6.0","11.5","10.9","10.0","8.2","7.6","7.0","6.0","5.9","4.6"
AL,Fayette County,"4.7","7.2","14.0","13.0","11.1","8.6","8.3","7.8","7.0","6.7","4.7"
AL,Franklin County,"4.6","7.4","13.4","10.7","9.6","8.4","8.0","7.7","6.0","5.9","4.2"
AL,Geneva County,"3.5","5.5","10.8","10.4","9.2","7.6","7.0","6.7","6.0","5.8","4.3"
AL,Greene County,"6.4","8.5","15.3","17.3","17.3","13.6","12.8","12.5","11.0","10.0","7.7"
AL,Hale County,"5.4","7.4","14.3","15.1","13.8","11.5","11.6","9.9","8.0","7.7","5.9"
AL,Henry County,"5.4","7.7","11.2","10.9","9.7","8.3","7.7","7.5","7.0","6.5","4.9"
AL,Houston County,"3.3","4.9","9.3","9.1","8.6","7.5","6.9","6.8","6.0","5.8","4.3"
AL,Jackson County,"4.5","6.2","12.8","11.8","10.3","8.6","7.9","7.3","7.0","6.3","4.8"
AL,Jefferson County,"3.9","5.4","10.8","10.3","9.3","7.4","6.7","6.3","6.0","5.7","4.2"
AL,Lamar County,"6.3","8.0","16.0","13.2","9.7","7.5","7.0","7.0","6.0","5.6","4.2"
AL,Lauderdale County,"4.3","5.7","10.7","10.1","9.1","7.7","7.1","7.2","7.0","6.4","4.6"
AL,Lawrence County,"4.1","6.5","13.6","12.6","10.9","9.0","8.3","8.2","8.0","6.9","4.9"
AL,Lee County,"3.6","5.2","9.4","9.0","8.1","6.8","5.9","5.6","5.0","5.2","3.9"
AL,Limestone County,"3.3","4.7","9.8","9.6","8.6","6.9","6.3","6.1","6.0","5.3","4.0"
AL,Lowndes County,"7.5","10.9","19.3","18.5","17.7","15.4","14.1","12.8","12.0","10.6","8.0"
AL,Macon County,"5.4","7.4","12.2","14.8","14.0","10.7","9.6","9.1","8.0","7.6","5.8"
AL,Madison County,"3.1","4.2","8.0","8.3","8.3","6.9","6.3","6.2","6.0","5.1","3.8"
AL,Marengo County,"5.3","7.4","14.2","13.7","12.6","10.2","8.9","8.0","8.0","7.2","5.7"
AL,Marion County,"5.2","8.0","16.6","13.6","11.2","8.9","7.9","7.9","7.0","6.6","4.8"
AL,Marshall County,"3.4","4.7","10.2","9.6","9.4","7.8","6.8","6.7","6.0","5.3","3.8"
AL,Mobile County,"4.0","5.7","11.3","11.3","10.8","9.2","8.5","7.7","7.0","6.6","5.2"
AL,Monroe County,"6.4","10.2","19.5","18.1","15.7","12.5","11.9","11.1","10.0","9.1","6.7"
AL,Montgomery County,"4.1","5.9","10.5","10.0","9.7","8.1","7.3","6.9","6.0","5.7","4.3"
AL,Morgan County,"3.5","5.2","10.8","10.8","9.4","7.8","6.9","6.6","6.0","5.5","4.1"
AL,Perry County,"8.4","11.3","19.9","16.8","16.5","13.3","13.5","12.1","10.0","10.3","7.9"
AL,Pickens County,"5.0","7.1","13.7","13.1","12.0","10.2","9.3","8.2","7.0","6.9","5.3"
AL,Pike County,"4.0","4.9","9.5","9.4","8.9","8.0","7.6","7.4","7.0","6.5","4.9"
AL,Randolph County,"5.1","7.3","14.9","13.4","11.4","9.2","7.8","6.7","6.0","5.6","4.4"
AL,Russell County,"6.1","8.0","12.3","10.9","10.3","8.8","7.2","6.5","6.0","5.6","4.3"
AL,St. Clair County,"3.4","5.0","10.9","10.1","8.8","6.9","6.1","5.8","5.0","5.2","4.0"
AL,Shelby County,"2.6","3.7","7.8","7.1","6.2","5.0","4.6","4.5","4.0","4.3","3.2"
AL,Sumter County,"6.5","8.7","14.9","13.3","13.1","10.5","9.0","8.5","8.0","7.7","6.5"
AL,Talladega County,"5.2","7.2","14.4","13.5","11.6","9.4","8.6","7.8","7.0","6.6","5.0"
AL,Tallapoosa County,"5.3","7.2","13.6","13.1","11.4","8.6","8.1","7.5","6.0","5.6","4.2"
AL,Tuscaloosa County,"3.3","4.7","10.2","9.2","8.3","7.0","6.4","5.9","5.0","5.7","4.1"
AL,Walker County,"4.3","5.7","11.6","12.7","11.3","9.2","8.5","7.9","7.0","7.5","5.0"
AL,Washington County,"5.9","8.4","15.1","14.2","14.6","11.9","10.9","9.6","9.0","8.6","6.8"
AL,Wilcox County,"9.7","14.0","26.0","26.3","23.2","19.9","19.3","16.9","15.0","14.4","11.4"
AL,Winston County,"5.6","8.7","17.7","16.0","13.5","10.0","9.4","8.6","8.0","7.1","5.0"
AK,Alaska,"6.3","6.7","7.7","7.9","7.6","7.1","7.0","6.9","7.0","6.9","7.2"
AK,Aleutians East Borough,"8.0","8.7","9.9","5.6","6.2","6.8","6.0","4.5","3.0","2.7","2.5"
AK,Aleutians West Census Area,"5.4","5.8","7.0","5.1","5.8","6.9","6.9","4.8","4.0","3.3","3.6"
AK,Anchorage Borough/municipality,"5.1","5.4","6.5","6.6","6.0","5.4","5.2","5.2","5.0","5.6","6.0"
AK,Bethel Census Area,"12.8","13.9","14.1","14.6","15.0","15.4","16.2","16.1","14.0","14.3","13.8"
AK,Bristol Bay Borough,"4.7","4.9","4.8","9.7","8.9","9.8","8.8","8.0","9.0","7.0","6.3"
AK,Denali Borough,"6.2","6.1","8.3","11.9","13.7","13.8","12.5","10.3","9.0","9.1","9.4"
AK,Dillingham Census Area,"9.1","9.3","10.2","10.1","10.6","9.9","10.2","10.0","10.0","9.7","9.3"
AK,Fairbanks North Star Borough,"5.6","6.1","7.1","6.6","6.4","6.1","5.9","5.8","6.0","5.9","6.3"
AK,Haines Borough,"7.4","8.8","9.0","10.6","10.0","10.0","10.2","10.7","10.0","10.3","9.1"
AK,Juneau Borough/city,"4.5","4.8","5.9","5.9","5.6","5.1","5.0","5.1","5.0","4.5","4.7"
AK,Kenai Peninsula Borough,"7.9","8.2","9.8","10.0","9.5","8.6","8.0","7.9","8.0","8.6","8.5"
AK,Ketchikan Gateway Borough,"5.7","5.9","7.1","8.7","8.6","8.1","7.8","7.9","7.0","6.6","6.3"
AK,Kodiak Island Borough,"6.3","6.8","7.1","7.4","7.4","6.7","6.2","5.7","5.0","5.2","5.1"
AK,Kusilvak Census Area,"20.4","20.6","20.8","20.4","21.1","22.1","23.7","23.8","23.0","21.7","20.1"
AK,Lake and Peninsula Borough,"5.5","6.9","8.1","14.4","15.0","15.2","15.5","16.3","13.0","12.6","11.9"
AK,Matanuska-Susitna Borough,"7.2","7.6","8.9","9.4","9.2","8.7","8.4","8.1","8.0","8.3","8.7"
AK,Nome Census Area,"11.1","10.4","11.7","12.6","12.3","11.7","12.3","12.3","12.0","12.8","12.6"
AK,North Slope Borough,"5.4","4.2","4.7","8.0","7.6","7.7","7.4","6.0","6.0","6.8","7.4"
AK,Northwest Arctic Borough,"10.8","11.6","11.9","13.4","15.5","15.7","16.4","17.0","16.0","16.1","16.8"
AK,Sitka Borough/city,"5.1","5.8","6.2","6.3","6.1","5.7","5.5","5.1","5.0","4.7","4.7"
AK,Southeast Fairbanks Census Area,"8.7","8.8","9.6","11.9","12.4","12.9","13.1","13.2","11.0","10.8","10.4"
AK,Valdez-Cordova Census Area,"8.4","8.4","8.5","9.4","9.9","9.7","9.9","9.7","9.0","8.6","8.0"
AK,Yakutat Borough/city,"6.8","7.5","11.5","10.8","10.6","9.7","9.5","9.9","9.0","8.6","9.4"
AK,Yukon-Koyukuk Census Area,"13.8","14.1","14.1","17.2","18.4","17.4","18.3","19.0","18.0","18.0","18.3"
AZ,Arizona,"3.9","6.2","9.9","10.4","9.5","8.3","7.7","6.8","6.0","5.4","4.9"
AZ,Apache County,"8.8","11.6","15.8","16.4","18.5","19.0","18.4","15.6","13.0","11.5","10.4"
AZ,Cochise County,"4.1","5.9","8.0","9.3","9.5","9.0","9.2","8.4","7.0","6.2","5.6"
AZ,Coconino County,"3.7","5.6","8.5","9.9","9.5","8.6","8.1","7.1","7.0","6.0","5.6"
AZ,Gila County,"4.3","6.5","11.4","12.5","11.6","10.2","9.6","8.3","8.0","7.2","6.1"
AZ,Graham County,"4.3","7.1","15.0","12.9","10.0","8.5","7.7","7.4","7.0","6.7","5.4"
AZ,Greenlee County,"3.3","5.3","18.9","16.4","11.0","8.2","5.9","6.5","8.0","7.6","5.1"
AZ,La Paz County,"5.1","7.7","9.9","10.2","9.8","8.6","8.2","7.6","7.0","6.0","5.4"
AZ,Maricopa County,"3.3","5.4","9.1","9.5","8.6","7.3","6.6","5.8","5.0","4.6","4.2"
AZ,Mohave County,"4.7","7.7","11.4","13.0","12.3","11.0","10.3","8.7","8.0","6.6","5.9"
AZ,Navajo County,"6.4","10.1","15.3","14.7","14.8","14.1","13.5","11.1","10.0","8.2","7.6"
AZ,Pima County,"3.7","5.8","9.1","9.3","8.5","7.4","6.8","6.0","6.0","5.0","4.5"
AZ,Pinal County,"4.6","7.4","12.3","10.7","9.8","8.5","8.1","7.0","6.0","5.5","5.0"
AZ,Santa Cruz County,"7.4","11.0","15.8","15.2","15.5","15.4","15.4","12.9","11.0","10.0","9.5"
AZ,Yavapai County,"3.7","6.2","10.5","10.7","9.9","8.6","7.7","6.3","6.0","4.9","4.5"
AZ,Yuma County,"14.1","18.4","23.0","25.1","24.2","23.9","25.5","22.9","22.0","18.8","17.0"
AR,Arkansas,"5.3","5.5","7.8","8.2","8.3","7.6","7.2","6.0","5.0","3.9","3.7"
AR,Arkansas County,"8.7","9.8","15.7","18.6","12.2","8.8","7.4","5.4","4.0","3.4","3.3"
AR,Ashley County,"8.1","7.6","10.5","10.1","11.2","12.3","10.9","9.2","8.0","6.2","5.7"
AR,Baxter County,"5.4","6.0","9.3","9.4","9.3","8.4","8.0","6.7","6.0","4.3","4.2"
AR,Benton County,"3.7","4.1","6.4","6.6","6.5","6.0","5.6","4.6","4.0","2.9","2.9"
AR,Boone County,"5.1","5.5","7.5","7.8","8.0","7.6","7.0","6.0","5.0","3.7","3.4"
AR,Bradley County,"6.1","7.2","9.8","10.8","12.5","11.1","9.8","8.4","6.0","5.2","4.7"
AR,Calhoun County,"6.7","6.2","8.4","8.8","9.6","9.1","8.2","6.6","5.0","4.6","3.9"
AR,Carroll County,"4.3","4.5","6.1","7.3","7.2","6.3","6.0","5.2","5.0","3.5","3.3"
AR,Chicot County,"8.2","8.3","11.1","12.3","13.2","11.4","11.6","10.4","9.0","6.5","6.5"
AR,Clark County,"5.6","5.9","8.1","8.6","10.4","10.1","9.0","7.0","6.0","4.4","4.0"
AR,Clay County,"9.3","8.1","11.3","11.0","12.1","11.0","9.7","7.8","7.0","5.6","4.6"
AR,Cleburne County,"6.1","5.6","7.5","8.6","9.2","8.5","8.5","8.3","7.0","5.9","4.9"
AR,Cleveland County,"5.7","5.9","8.1","8.4","8.5","7.4","7.6","6.8","6.0","4.5","4.4"
AR,Columbia County,"6.5","7.0","9.7","10.0","10.0","9.0","8.8","7.1","7.0","5.7","5.0"
AR,Conway County,"4.9","5.5","7.5","9.7","9.9","9.2","9.2","7.1","6.0","5.7","4.7"
AR,Craighead County,"5.0","4.9","7.0","7.4","7.4","6.9","6.5","5.4","4.0","3.2","3.0"
AR,Crawford County,"4.9","4.9","7.8","8.2","8.9","8.0","7.6","6.0","5.0","3.9","3.5"
AR,Crittenden County,"6.5","7.9","10.9","10.5","10.9","9.6","8.4","7.4","6.0","4.5","4.3"
AR,Cross County,"7.4","6.8","8.4","8.3","8.4","7.9","7.6","6.3","5.0","4.4","4.0"
AR,Dallas County,"7.0","7.2","10.2","12.3","12.5","11.5","10.8","9.3","7.0","5.0","4.5"
AR,Desha County,"9.9","8.8","11.3","11.1","11.2","9.9","9.6","8.1","7.0","5.4","4.8"
AR,Drew County,"7.4","7.9","11.0","10.9","11.6","10.7","9.8","8.4","7.0","5.8","5.2"
AR,Faulkner County,"4.4","4.8","6.9","7.2","7.2","6.6","6.5","5.5","5.0","3.8","3.3"
AR,Franklin County,"4.5","4.5","7.3","7.7","7.7","7.1","6.9","5.7","5.0","4.0","3.5"
AR,Fulton County,"5.0","5.2","7.5","7.8","7.8","7.2","6.9","5.8","5.0","4.3","4.2"
AR,Garland County,"5.5","5.6","7.6","8.5","8.8","7.9","7.6","6.3","6.0","4.3","4.0"
AR,Grant County,"4.9","5.2","7.1","7.1","7.4","6.8","6.5","5.4","5.0","3.6","3.2"
AR,Greene County,"6.5","6.6","10.1","9.7","9.7","8.7","7.9","6.3","5.0","4.3","3.7"
AR,Hempstead County,"5.9","5.8","8.3","9.3","8.8","7.3","7.2","6.0","5.0","3.8","3.5"
AR,Hot Spring County,"5.3","6.6","8.6","8.6","8.3","7.2","7.3","5.8","5.0","3.9","3.7"
AR,Howard County,"5.4","5.5","8.0","7.8","7.5","6.7","6.4","5.8","4.0","3.3","3.0"
AR,Independence County,"6.2","7.0","8.8","8.8","9.3","9.2","9.0","7.8","7.0","4.9","4.2"
AR,Izard County,"5.9","6.7","9.2","10.1","9.9","8.8","8.6","7.5","7.0","5.6","5.5"
AR,Jackson County,"7.5","7.8","10.9","11.9","11.6","10.8","10.9","9.2","8.0","6.2","5.8"
AR,Jefferson County,"7.5","7.7","9.8","10.4","11.1","10.0","10.3","8.7","7.0","5.6","5.2"
AR,Johnson County,"4.8","4.7","7.2","8.2","7.9","7.4","7.6","6.5","6.0","4.7","4.2"
AR,Lafayette County,"7.5","7.1","9.5","9.9","9.7","9.5","9.6","7.8","8.0","5.9","5.1"
AR,Lawrence County,"6.8","7.1","9.2","9.5","9.9","9.1","8.9","7.2","6.0","4.3","3.8"
AR,Lee County,"9.4","8.5","9.2","8.6","9.6","9.5","9.3","7.6","7.0","4.7","4.8"
AR,Lincoln County,"7.8","8.1","9.9","9.4","9.3","8.7","8.3","7.1","6.0","4.8","4.2"
AR,Little River County,"4.2","3.9","6.0","7.7","7.8","7.3","7.6","6.5","6.0","4.6","4.8"
AR,Logan County,"5.0","6.5","9.2","8.6","8.8","8.0","7.8","6.0","6.0","4.6","3.8"
AR,Lonoke County,"4.4","4.5","6.3","6.8","7.0","6.4","6.1","5.1","4.0","3.3","3.3"
AR,Madison County,"4.1","4.4","6.8","7.1","6.8","5.9","5.8","4.8","4.0","3.2","2.8"
AR,Marion County,"5.4","6.3","11.8","10.1","9.4","8.2","7.7","6.3","5.0","4.0","3.9"
AR,Miller County,"4.5","4.0","5.6","5.8","6.4","5.9","6.4","5.8","5.0","4.2","4.3"
AR,Mississippi County,"7.3","7.7","13.9","12.5","12.1","11.0","11.3","9.2","9.0","6.7","5.9"
AR,Monroe County,"6.7","6.4","8.1","9.2","9.5","9.1","8.8","6.7","6.0","4.8","4.3"
AR,Montgomery County,"5.3","5.7","7.1","8.8","9.3","8.5","8.4","8.0","7.0","5.2","4.8"
AR,Nevada County,"5.7","6.8","9.3","10.0","9.5","7.8","7.7","6.1","5.0","3.7","3.5"
AR,Newton County,"5.1","5.7","8.0","6.9","7.5","7.3","6.9","5.8","5.0","3.9","3.6"
AR,Ouachita County,"7.3","6.4","8.0","9.6","10.5","10.5","9.7","8.0","6.0","5.0","4.6"
AR,Perry County,"4.8","5.6","7.9","8.9","9.3","9.1","9.3","7.7","6.0","4.7","4.2"
AR,Phillips County,"7.3","7.2","9.5","10.5","12.1","11.6","11.4","9.6","8.0","5.8","5.8"
AR,Pike County,"5.6","6.1","7.7","9.1","10.1","9.1","8.8","7.3","6.0","4.3","4.1"
AR,Poinsett County,"7.2","6.4","8.9","9.3","9.6","8.7","8.5","6.9","6.0","4.3","4.1"
AR,Polk County,"4.9","5.2","7.6","7.5","8.1","7.4","7.2","6.3","6.0","4.9","4.5"
AR,Pope County,"4.8","4.9","7.5","7.8","7.8","7.3","7.3","6.3","5.0","4.6","4.4"
AR,Prairie County,"5.7","5.7","7.9","9.2","8.7","7.6","7.0","5.8","5.0","3.8","4.0"
AR,Pulaski County,"4.7","4.8","6.7","7.3","7.5","6.9","6.5","5.5","5.0","3.5","3.4"
AR,Randolph County,"9.3","8.2","9.2","10.2","11.3","10.8","9.5","7.9","7.0","4.6","4.2"
AR,St. Francis County,"9.6","9.4","10.4","10.6","11.1","10.8","10.4","8.7","7.0","5.2","5.1"
AR,Saline County,"4.2","4.5","6.6","6.7","6.7","6.1","5.8","4.8","4.0","3.1","3.0"
AR,Scott County,"4.6","4.8","6.8","7.1","7.1","6.7","6.3","5.0","5.0","3.7","3.4"
AR,Searcy County,"4.9","5.4","7.7","9.2","9.2","8.2","7.9","6.3","6.0","4.5","4.5"
AR,Sebastian County,"5.1","5.0","7.6","8.0","8.7","7.8","7.4","5.7","5.0","3.7","3.6"
AR,Sevier County,"4.1","4.1","5.9","7.0","9.2","8.8","8.4","7.0","6.0","4.9","4.5"
AR,Sharp County,"6.7","7.5","9.2","9.8","10.7","10.1","9.7","8.4","7.0","5.4","4.9"
AR,Stone County,"5.7","6.6","8.8","7.6","8.9","8.2","8.4","7.6","6.0","5.1","4.7"
AR,Union County,"6.8","6.4","10.3","11.3","10.5","9.2","8.6","7.4","6.0","5.4","5.3"
AR,Van Buren County,"5.9","6.6","10.5","11.2","11.0","10.1","9.7","8.1","7.0","6.8","5.4"
AR,Washington County,"3.9","4.2","6.3","6.5","6.3","5.6","5.3","4.4","4.0","2.7","2.5"
AR,White County,"6.6","6.0","8.2","8.2","8.7","7.9","7.8","7.0","6.0","5.2","4.5"
AR,Woodruff County,"8.7","8.0","11.0","10.4","11.0","10.2","9.5","7.6","6.0","5.4","4.8"
AR,Yell County,"4.3","4.5","8.2","8.1","7.5","6.7","6.6","5.6","5.0","4.4","4.0"
CA,California,"5.4","7.3","11.2","12.2","11.7","10.4","8.9","7.5","6.0","5.5","4.8"
CA,Alameda County,"4.7","6.2","10.3","10.9","10.1","8.7","7.2","5.8","5.0","4.3","3.6"
CA,Alpine County,"7.9","10.5","14.1","12.9","12.8","11.2","9.7","8.2","7.0","6.5","6.1"
CA,Amador County,"5.8","7.7","11.4","14.1","13.6","12.3","10.3","8.3","7.0","6.0","4.9"
CA,Butte County,"6.7","8.5","12.3","13.9","13.7","12.2","10.3","8.6","7.0","6.6","5.7"
CA,Calaveras County,"6.4","8.7","13.6","14.4","14.0","12.4","9.9","8.0","6.0","5.7","4.7"
CA,Colusa County,"11.8","13.8","17.6","20.8","21.2","20.7","18.9","17.4","15.0","15.6","14.3"
CA,Contra Costa County,"4.7","6.2","10.0","11.0","10.3","8.9","7.5","6.2","5.0","4.5","3.8"
CA,Del Norte County,"7.5","8.8","11.8","13.2","13.3","13.5","11.8","10.1","9.0","7.5","6.4"
CA,El Dorado County,"5.2","7.0","10.9","12.2","11.7","10.2","8.5","7.0","6.0","5.1","4.4"
CA,Fresno County,"8.6","10.6","14.7","16.7","16.5","15.1","13.3","11.6","10.0","9.5","8.5"
CA,Glenn County,"8.8","10.5","14.1","15.4","15.5","14.2","12.1","10.7","9.0","8.3","7.5"
CA,Humboldt County,"5.9","7.3","10.7","10.6","10.6","9.6","8.1","6.7","6.0","4.9","4.2"
CA,Imperial County,"18.1","22.6","27.4","28.8","28.9","27.4","25.0","24.0","24.0","23.6","19.1"
CA,Inyo County,"4.9","6.6","9.0","9.7","9.7","9.1","7.8","6.8","6.0","5.3","4.4"
CA,Kern County,"8.2","9.8","14.1","15.7","14.8","13.1","11.7","10.4","10.0","10.4","9.2"
CA,Kings County,"8.7","10.6","14.2","16.1","15.9","14.9","13.4","11.9","11.0","10.0","8.9"
CA,Lake County,"8.4","10.7","15.0","15.1","14.5","12.8","10.9","8.9","8.0","6.7","5.7"
CA,Lassen County,"8.2","9.6","12.3","14.0","13.5","12.5","10.6","9.1","7.0","6.9","5.6"
CA,Los Angeles County,"5.1","7.6","11.6","12.5","12.2","10.9","9.8","8.3","7.0","5.3","4.7"
CA,Madera County,"7.5","9.5","13.4","16.6","16.2","14.4","12.6","11.2","11.0","9.2","8.1"
CA,Marin County,"3.7","4.7","7.5","7.9","7.3","6.3","5.2","4.3","4.0","3.3","2.9"
CA,Mariposa County,"6.0","7.5","10.3","12.9","13.2","12.2","10.5","8.8","7.0","6.9","5.9"
CA,Mendocino County,"5.5","6.9","10.0","11.6","11.4","10.0","8.4","7.0","6.0","5.3","4.5"
CA,Merced County,"10.1","12.6","16.6","18.0","17.6","16.3","14.5","12.8","11.0","10.6","9.3"
CA,Modoc County,"8.1","9.7","12.1","15.2","16.0","14.4","12.3","10.3","9.0","7.8","8.0"
CA,Mono County,"4.8","5.9","8.8","10.2","10.1","10.3","8.5","7.0","6.0","5.4","4.4"
CA,Monterey County,"7.1","8.5","11.5","12.7","12.7","11.6","10.3","9.0","8.0","7.7","7.2"
CA,Napa County,"4.0","5.1","8.4","10.3","9.8","8.4","6.9","5.7","5.0","4.3","3.7"
CA,Nevada County,"4.8","6.6","10.3","11.7","11.1","9.7","8.1","6.5","5.0","4.8","4.1"
CA,Orange County,"3.9","5.3","8.7","9.7","9.1","7.9","6.6","5.5","5.0","4.0","3.5"
CA,Placer County,"4.8","6.5","10.2","11.6","10.8","9.4","7.7","6.3","5.0","4.5","3.8"
CA,Plumas County,"8.5","10.6","15.4","18.2","17.6","16.1","13.8","11.5","10.0","9.7","8.9"
CA,Riverside County,"6.0","8.6","13.1","13.8","13.2","11.6","9.9","8.2","7.0","6.1","5.2"
CA,Sacramento County,"5.4","7.2","11.0","12.6","12.1","10.5","8.9","7.3","6.0","5.4","4.6"
CA,San Benito County,"7.2","9.7","14.0","15.1","14.5","13.0","11.1","9.3","8.0","6.8","5.8"
CA,San Bernardino County,"5.6","8.0","12.7","13.5","12.9","11.4","9.8","8.0","6.0","5.8","4.9"
CA,San Diego County,"4.6","6.0","9.4","10.8","10.3","9.1","7.8","6.4","5.0","4.7","4.0"
CA,San Francisco County/city,"4.2","5.3","8.7","8.9","8.1","6.8","5.5","4.4","4.0","3.3","2.9"
CA,San Joaquin County,"8.1","10.4","14.9","16.5","16.2","14.4","12.3","10.5","9.0","8.1","7.0"
CA,San Luis Obispo County,"4.3","5.8","8.8","10.1","9.6","8.2","6.8","5.6","5.0","4.3","3.6"
CA,San Mateo County,"3.8","4.9","8.2","8.4","7.5","6.4","5.3","4.2","3.0","3.0","2.7"
CA,Santa Barbara County,"4.4","5.5","8.2","9.7","9.4","8.4","7.2","6.1","5.0","5.1","4.5"
CA,Santa Clara County,"4.7","6.0","10.6","10.4","9.3","7.9","6.5","5.2","4.0","3.8","3.2"
CA,Santa Cruz County,"5.9","7.4","11.1","13.3","13.1","11.8","10.3","8.8","8.0","7.0","5.7"
CA,Shasta County,"7.5","10.1","14.3","16.8","15.9","14.2","11.8","9.6","8.0","7.0","5.8"
CA,Sierra County,"8.0","10.6","14.9","15.3","14.9","14.4","12.7","10.1","9.0","7.6","6.5"
CA,Siskiyou County,"8.5","10.2","14.2","16.8","17.0","15.6","13.1","11.1","9.0","8.5","7.2"
CA,Solano County,"5.3","6.9","10.4","12.6","12.2","10.7","9.1","7.5","6.0","5.5","4.8"
CA,Sonoma County,"4.3","5.8","9.4","10.8","10.2","8.9","7.1","5.6","5.0","4.0","3.4"
CA,Stanislaus County,"8.7","11.1","15.5","16.9","16.5","14.9","12.9","11.2","10.0","8.6","7.5"
CA,Sutter County,"9.7","12.4","16.5","18.4","18.2","16.8","14.6","12.6","11.0","9.8","8.6"
CA,Tehama County,"7.2","9.2","13.6","15.4","15.0","13.7","11.6","9.6","8.0","7.1","6.4"
CA,Trinity County,"10.4","12.8","16.8","17.0","16.7","14.6","11.9","9.4","8.0","7.1","6.0"
CA,Tulare County,"9.2","10.8","14.9","17.2","17.1","16.2","14.4","13.1","12.0","11.2","10.4"
CA,Tuolumne County,"6.2","8.0","12.2","15.2","14.5","13.0","10.8","8.7","7.0","6.2","5.4"
CA,Ventura County,"4.9","6.3","9.6","10.8","10.2","9.1","7.9","6.6","6.0","5.2","4.5"
CA,Yolo County,"5.7","7.4","11.0","12.1","11.8","10.6","9.0","7.5","6.0","5.9","5.0"
CA,Yuba County,"9.3","11.9","16.8","17.8","17.0","15.4","13.2","11.2","9.0","8.6","7.4"
Co,Colorado,"3.7","4.8","7.3","8.7","8.4","7.9","6.9","5.0","4.0","3.3","2.8"
CO,Adams County,"4.2","5.4","8.5","10.0","9.9","9.4","8.1","5.7","4.0","3.6","3.1"
CO,Alamosa County,"4.0","5.2","6.3","9.0","9.7","10.4","9.7","7.2","5.0","4.0","3.4"
CO,Arapahoe County,"3.7","4.9","7.3","8.6","8.3","7.7","6.6","4.9","4.0","3.1","2.8"
