State,Area Name,Unemployment_rate_2007,Unemployment_rate_2008,Unemployment_rate_2009,Unemployment_rate_2010,Unemployment_rate_2011,Unemployment_rate_2012,Unemployment_rate_2013,Unemployment_rate_2014,Unemployment_rate_2015,Unemployment_rate_2016,Unemployment_rate_2017
KY,Gallatin County,"5.4","7.1","12.1","12.3","10.7","9.3","9.3","7.0","5.0","4.9","4.6"
KY,Garrard County,"5.6","6.5","11.8","11.1","10.0","8.4","8.2","6.5","5.0","4.8","4.8"
KY,Grant County,"5.5","7.0","11.5","11.8","10.7","9.0","8.3","6.5","5.0","5.0","4.9"
KY,Graves County,"6.3","6.9","9.9","9.5","9.1","8.2","8.5","7.5","6.0","6.1","5.9"
KY,Grayson County,"8.1","9.9","14.7","14.2","12.3","10.3","10.3","8.4","7.0","6.6","6.0"
KY,Green County,"6.1","7.7","11.8","11.8","9.7","8.3","8.3","6.5","5.0","4.5","4.6"
KY,Greenup County,"5.4","6.2","9.3","11.5","11.2","9.9","10.2","8.5","8.0","8.8","7.6"
KY,Hancock County,"5.1","5.8","11.7","10.3","8.4","7.2","7.2","6.0","5.0","5.5","5.1"
KY,Hardin County,"5.1","6.2","10.3","9.7","9.2","8.2","7.7","6.2","5.0","4.6","4.6"
KY,Harlan County,"9.0","8.9","10.9","11.9","11.2","14.1","18.1","14.0","12.0","12.3","9.4"
KY,Harrison County,"4.9","6.3","11.4","11.1","10.1","7.9","7.6","6.0","5.0","4.7","4.6"
KY,Hart County,"5.3","6.6","10.3","10.4","9.9","8.3","7.9","6.3","5.0","4.7","4.4"
KY,Henderson County,"5.0","6.1","10.6","10.3","9.0","7.5","7.5","6.1","5.0","4.8","4.6"
KY,Henry County,"5.3","6.2","10.5","9.9","8.8","7.3","7.2","5.8","5.0","4.2","4.1"
KY,Hickman County,"6.8","7.0","8.8","8.2","8.9","8.1","7.1","6.2","6.0","5.7","7.1"
KY,Hopkins County,"5.9","7.3","9.2","9.7","8.5","7.7","7.9","6.4","6.0","5.6","4.8"
KY,Jackson County,"13.6","11.3","16.4","14.1","13.6","11.8","11.6","11.5","9.0","7.7","8.3"
KY,Jefferson County,"5.3","6.3","10.1","10.0","9.5","7.9","7.5","6.0","5.0","4.5","4.4"
KY,Jessamine County,"4.4","5.5","9.1","8.5","7.8","6.7","6.5","5.2","4.0","4.0","3.8"
KY,Johnson County,"6.1","6.9","10.3","12.6","10.9","10.2","11.0","9.2","8.0","9.7","8.2"
KY,Kenton County,"4.8","5.9","9.9","9.8","8.8","7.4","7.0","5.5","4.0","4.2","4.0"
KY,Knott County,"6.9","6.8","10.6","13.5","11.8","13.8","15.4","11.1","10.0","11.4","8.5"
KY,Knox County,"6.7","7.6","11.6","13.5","13.3","12.8","13.0","9.9","8.0","8.0","7.6"
KY,Larue County,"5.1","6.5","11.8","11.3","10.0","8.6","8.2","6.6","5.0","4.7","4.8"
KY,Laurel County,"5.3","6.6","10.2","11.4","11.5","10.2","9.7","7.6","6.0","6.2","5.9"
KY,Lawrence County,"7.8","8.6","11.8","13.6","11.7","10.6","11.2","9.6","9.0","10.6","8.9"
KY,Lee County,"6.6","7.4","11.7","12.6","12.6","12.6","12.5","9.7","8.0","9.4","8.4"
KY,Leslie County,"8.7","8.3","12.4","12.9","12.6","14.3","17.6","12.9","11.0","13.3","10.1"
KY,Letcher County,"7.4","6.9","10.7","11.4","10.2","13.5","16.7","12.3","11.0","12.0","9.2"
KY,Lewis County,"7.6","9.5","15.2","13.8","13.0","11.6","12.1","9.6","8.0","9.4","8.9"
KY,Lincoln County,"6.5","7.5","12.6","12.8","12.3","10.3","10.7","8.8","7.0","6.1","5.7"
KY,Livingston County,"5.4","6.1","9.9","12.0","11.0","9.7","9.9","8.2","7.0","7.2","7.5"
KY,Logan County,"5.3","6.3","10.9","9.9","8.9","7.6","7.1","5.7","5.0","4.3","4.4"
KY,Lyon County,"6.4","7.6","12.3","11.6","10.4","9.2","8.2","7.0","6.0","5.7","5.6"
KY,McCracken County,"4.9","5.8","8.8","9.1","8.6","8.0","7.9","7.0","6.0","5.8","6.1"
KY,McCreary County,"9.0","9.6","14.0","14.5","14.6","13.2","13.1","10.6","8.0","7.8","6.7"
KY,McLean County,"5.8","7.1","10.5","10.2","8.9","7.6","7.7","6.4","5.0","4.9","5.2"
KY,Madison County,"4.7","5.5","9.1","8.5","7.9","6.7","6.6","5.4","4.0","4.3","4.3"
KY,Magoffin County,"10.4","10.7","18.4","20.5","17.1","17.2","17.6","14.0","15.0","19.1","15.7"
KY,Marion County,"5.1","6.4","13.2","12.6","10.8","8.9","8.2","6.4","5.0","4.2","4.1"
KY,Marshall County,"5.8","6.3","10.6","10.5","9.3","8.1","8.1","6.7","6.0","5.8","5.9"
KY,Martin County,"7.8","7.6","11.3","10.3","9.0","9.1","9.8","9.1","10.0","10.2","7.3"
KY,Mason County,"4.6","6.0","10.8","11.3","10.3","9.4","10.0","7.9","6.0","6.3","6.1"
KY,Meade County,"6.0","7.7","12.9","11.8","11.3","9.8","9.0","7.1","6.0","5.2","5.2"
KY,Menifee County,"8.5","9.9","16.4","15.5","14.1","11.6","12.1","9.8","9.0","8.7","8.7"
KY,Mercer County,"5.2","6.3","11.3","11.2","10.4","8.2","7.9","6.2","5.0","4.8","4.9"
KY,Metcalfe County,"5.6","7.0","15.6","13.3","11.2","8.0","7.8","6.1","5.0","4.6","4.1"
KY,Monroe County,"6.8","8.3","13.9","10.7","9.0","7.2","7.1","5.5","4.0","4.1","3.8"
KY,Montgomery County,"5.8","7.4","12.4","12.2","11.2","8.8","8.5","7.5","7.0","6.4","6.6"
KY,Morgan County,"8.7","9.7","13.6","13.0","11.0","10.6","10.6","9.4","8.0","7.9","7.3"
KY,Muhlenberg County,"7.9","8.5","10.8","10.9","10.3","9.8","9.4","7.6","7.0","7.2","6.7"
KY,Nelson County,"5.8","7.3","12.4","11.2","10.6","8.3","7.5","6.1","5.0","4.5","4.4"
KY,Nicholas County,"6.3","7.3","12.2","10.1","9.1","8.2","8.6","7.7","6.0","5.5","5.4"
KY,Ohio County,"5.2","6.4","9.7","11.2","9.9","8.7","9.3","7.7","6.0","6.6","6.4"
KY,Oldham County,"4.8","5.6","8.3","7.5","7.0","5.9","5.7","4.7","4.0","3.4","3.5"
KY,Owen County,"5.0","6.5","9.8","8.4","7.6","6.6","6.3","5.0","4.0","4.2","4.3"
KY,Owsley County,"9.2","8.0","10.5","13.3","13.2","12.8","12.6","10.5","10.0","9.4","8.1"
KY,Pendleton County,"5.8","7.7","12.3","12.3","10.8","8.8","8.4","6.7","5.0","4.9","4.7"
KY,Perry County,"7.0","6.8","10.7","11.7","10.4","12.5","13.9","10.3","9.0","10.6","8.2"
KY,Pike County,"5.9","5.8","9.6","10.4","9.2","9.7","11.9","10.5","9.0","10.9","7.9"
KY,Powell County,"6.6","8.6","15.5","15.5","12.9","10.9","10.8","8.5","7.0","7.1","6.6"
KY,Pulaski County,"5.9","6.7","10.3","10.6","10.7","9.4","9.2","7.3","6.0","5.4","5.6"
KY,Robertson County,"4.8","6.1","9.9","11.6","11.2","10.2","11.0","7.8","6.0","6.1","6.2"
KY,Rockcastle County,"6.6","7.3","13.2","11.2","11.5","10.2","9.3","7.6","7.0","6.2","5.8"
KY,Rowan County,"5.3","6.0","9.1","10.1","9.5","8.3","8.3","7.0","6.0","5.8","5.8"
KY,Russell County,"6.1","7.3","12.0","12.8","11.7","10.3","11.6","10.2","12.0","8.4","7.2"
KY,Scott County,"4.4","5.4","9.6","8.7","8.0","6.5","6.1","4.9","4.0","3.9","3.7"
