Missouri,"3,929","5,382"
District of Columbia,"3,169","3,187"
Hawaii,"2,980","3,116"
Pennsylvania,"7,113","7,441"
Maine,"1,453","1,106"
South Dakota,"537","347"
New Jersey,"5,909","6,422"
Iowa,"1,560","1,482"
Wisconsin,"3,099","2,994"
Vermont,"753","507"
Colorado,"5,090","11,667"
Minnesota,"4,486","4,204"
New York,"46,195","39,433"
Massachusetts,"12,335","11,212"
Guam,"975","1,046"
Delaware,"10","22"
Maine,"62","33"
Iowa,"134","148"
Massachusetts,"850","722"
New York,"4,157","4,084"
Nebraska,"173","832"
Wisconsin,"368","581"
District of Columbia,"512","679"
Rhode Island,"117","28"
Pennsylvania,"1,359","1,076"
Alaska,"205","197"
Ohio,"1,338","1,731"
Minnesota,"915","990"
Indiana,"700","889"
Kansas,"311","334"
New Jersey,"1,399","1,596"
Vermont,"184","223"
Utah,"418","475"
Virginia,"1,022","1,429"
New Hampshire,"202","167"
Kentucky,"754","911"
New Mexico,"428","848"
Illinois,"2,196","2,995"
Michigan,"2,188","2,322"
Connecticut,"919","695"
Idaho,"377","486"
Colorado,"2,163","9,508"
Maryland,"1,922","3,512"
Missouri,"2,080","2,344"
North Carolina,"3,155","4,715"
Oklahoma,"1,146","1,989"
West Virginia,"628","877"
Washington,"5,053","5,477"
Arizona,"3,131","3,087"
Louisiana,"1,575","3,965"
Alabama,"1,443","1,545"
South Dakota,"339","64"
Tennessee,"3,207","3,648"
Texas,"12,090","16,551"
Hawaii,"2,590","2,520"
Montana,"784","680"
Wyoming,"452","1,338"
South Carolina,"3,133","2,139"
Georgia,"8,461","12,196"
Oregon,"7,390","9,283"
Mississippi,"1,320","1,371"
Nevada,"4,745","5,956"
Arkansas,"2,148","2,612"
Florida,"28,192","35,338"
Puerto Rico,"2,726","1,866"
California,"91,272","85,008"
North Dakota,"1,395","53"
US Virgin Islands,"363","378"
Guam,"1,143","1,114"
Puerto Rico,"82","116"
Guam,"32","31"
Minnesota,"349","309"
New Jersey,"540","592"
Maine,"164","116"
Nebraska,"183","249"
New York,"4,659","4,961"
Massachusetts,"1,253","1,181"
US Virgin Islands,"33","33"
Rhode Island,"97","96"
Colorado,"685","1,512"
District of Columbia,"499","531"
Washington,"1,318","1,475"
Iowa,"229","217"
Connecticut,"341","332"
Maryland,"673","617"
New Mexico,"243","345"
New Hampshire,"125","127"
Mississippi,"210","244"
Vermont,"128","109"
Hawaii,"558","507"
Wisconsin,"552","539"
North Carolina,"1,123","1,413"
Delaware,"89","66"
Virginia,"719","881"
Illinois,"1,267","1,147"
Michigan,"1,100","1,017"
Pennsylvania,"1,462","1,456"
South Carolina,"636","543"
Missouri,"843","899"
Ohio,"1,212","1,244"
Oklahoma,"437","404"
Utah,"327","330"
Tennessee,"991","1,285"
Georgia,"1,805","2,297"
Alaska,"210","256"
Oregon,"1,494","1,356"
Alabama,"511","526"
Louisiana,"575","899"
California,"15,179","16,461"
Nevada,"950","1,419"
South Dakota,"125","124"
Florida,"5,505","5,331"
Arizona,"1,222","1,478"
Kentucky,"607","440"
North Dakota,"241","160"
Idaho,"208","260"
Arkansas,"462","362"
Indiana,"743","687"
Texas,"3,878","4,364"
Wyoming,"137","311"
West Virginia,"329","268"
Kansas,"414","373"
Montana,"309","323"
