State,2013,2012
Guam,"2.1017046097771026E-5","9.155492693017928E-6"
New York,"0.001666940224813408","0.0017994704729367966"
Maine,"6.552373195187438E-5","9.238724444772636E-5"
North Dakota,"4.533088374029045E-5","3.3708859460656916E-5"
Delaware,"2.6786431301080717E-5","3.4957335736977544E-5"
South Carolina,"1.8668082122137795E-4","1.6146959840413437E-4"
Wisconsin,"1.8503242544900373E-4","1.568918520576254E-4"
Kentucky,"1.6236698357885852E-4","2.068309031104505E-4"
Missouri,"2.8640876545001694E-4","3.770398354488292E-4"
Massachusetts,"6.498800332585276E-4","6.242381381603133E-4"
New Jersey,"4.1292314097973666E-4","3.6663586647949067E-4"
Indiana,"2.105825599208038E-4","1.9184918779460296E-4"
Michigan,"3.993238758576495E-4","4.885703828001385E-4"
Alaska,"6.840842455352923E-5","1.1361134114517702E-4"
Iowa,"1.1415140723691323E-4","1.123628648688564E-4"
Arizona,"4.384732754515367E-4","6.679348078315352E-4"
Pennsylvania,"6.329839765916921E-4","6.5087229872182E-4"
Illinois,"5.7817481716025E-4","8.651940594901942E-4"
Nevada,"3.642954656946978E-4","8.306528825119902E-4"
Utah,"1.429983332534617E-4","1.3774854915404245E-4"
South Dakota,"4.82155763419453E-5","4.702593974141027E-5"
Nebraska,"1.3970154170871328E-4","1.6479886847432272E-4"
Idaho,"7.953509601705507E-5","8.323175175470844E-5"
Washington,"7.9411466334127E-4","8.493800266567995E-4"
Minnesota,"3.7707053293059784E-4","4.1782339380863636E-4"
Montana,"8.65407780496454E-5","1.2651226266715684E-4"
Kansas,"1.2527807870043906E-4","1.2776073894347744E-4"
North Carolina,"5.979555664287403E-4","6.096725816032393E-4"
Vermont,"7.541410658611956E-5","7.907016416697301E-5"
Ohio,"6.910899275678826E-4","7.440918606870934E-4"
Colorado,"5.579819689486661E-4","6.708479191429499E-4"
Oklahoma,"2.5426504788872005E-4","2.001723629700738E-4"
New Mexico,"1.6442747829432627E-4","4.0492247228665656E-4"
Arkansas,"2.328359028478555E-4","1.5023331191724873E-4"
Maryland,"5.147115799238434E-4","5.239438772958896E-4"
New Hampshire,"9.31343611391422E-5","9.86296258293295E-5"
Georgia,"0.0011180244326127998","0.0012551348164610032"
Texas,"0.0019657119585562315","0.0025448108099002105"
Florida,"0.0032053055793816285","0.0036130903436718933"
Hawaii,"4.2487401032944953E-4","3.7870447048392336E-4"
Alabama,"3.1649198829584606E-4","3.7870447048392336E-4"
Virginia,"5.200688661840595E-4","6.371390596822931E-4"
Mississippi,"1.681363687821682E-4","1.8727144144809398E-4"
West Virginia,"1.6071858780648433E-4","1.439909305356456E-4"
Rhode Island,"1.0014004317173253E-4","6.159149629848424E-5"
Oregon,"0.0010071698169206351","0.0011577536669079944"
US Virgin Islands,"3.585260804913881E-5","8.031864044329364E-5"
Louisiana,"4.1828042723995277E-4","0.0011415234753158264"
Connecticut,"3.593502783775752E-4","3.84530693106753E-4"
Tennessee,"7.94938861227457E-4","8.797596160472681E-4"
Wyoming,"9.107386642367445E-5","1.5605953454007833E-4"
District of Columbia,"7.269425356170214E-4","7.782168789065238E-4"
California,"0.014582533200308345","0.013908858035729327"
Puerto Rico,"6.713091782993922E-4","6.646055377613469E-4"
Alabama,"2.03988976831307E-4","2.068309031104505E-4"
Alaska,"8.077139284633572E-5","8.989029189508511E-5"
Arizona,"5.320197355337725E-4","6.096725816032393E-4"
Arkansas,"8.98375695943938E-5","1.1069822983376221E-4"
California,"0.003406821962554374","0.003360898135855127"
Colorado,"5.950708738270855E-4","0.001291756787233075"
Connecticut,"1.9574699796943602E-4","1.8685528268932045E-4"
Delaware,"4.903977422813239E-5","5.32683211230134E-5"
District of Columbia,"4.050932610609592E-4","4.2198498139637175E-4"
Florida,"0.002392646463601149","0.0026355334193128425"
Georgia,"5.180083714685918E-4","7.403464318581315E-4"
Guam,"6.882052349662277E-5","6.866619519763446E-5"
Hawaii,"3.0330482211685247E-4","3.2959773694864544E-4"
